,year,temperature (Â°C)
0,1940,17.241398979235043
1,1941,17.55539627551282
2,1942,17.397508793804274
3,1943,17.471348691116923
4,1944,17.611624292901922
5,1945,17.43156528598175
6,1946,17.65614214701282
7,1947,17.66990004418859
8,1948,17.543797342538035
9,1949,17.544215089096152
10,1950,17.45580110904188
11,1951,17.691871707563248
12,1952,17.669428225516665
13,1953,17.649904369692308
14,1954,17.436852874175298
15,1955,17.53219114613812
16,1956,17.17548862192564
17,1957,17.655698946718378
18,1958,17.891906819777905
19,1959,17.727929498467095
20,1960,17.853371081467095
21,1961,17.868245535280767
22,1962,17.641382023885043
23,1963,17.639816177195726
24,1964,17.564399722642136
25,1965,17.465628529708976
26,1966,17.858912971465383
27,1967,17.60741323676068
28,1968,17.636081956623503
29,1969,17.759134239152562
30,1970,17.821158724249575
31,1971,17.6142252293344
32,1972,17.673891636720942
33,1973,17.87457428373846
34,1974,17.584256230813462
35,1975,17.716650785328206
36,1976,17.42482704654744
37,1977,17.888088833884616
38,1978,17.69973791401453
39,1979,17.912917964372223
40,1980,17.869420583350898
41,1981,17.918877129932223
42,1982,17.845840147376496
43,1983,18.10956088920855
44,1984,17.759242391458972
45,1985,17.6992591661844
46,1986,17.817952171262863
47,1987,18.099411746605984
48,1988,18.16562471217906
49,1989,18.101305222374574
50,1990,18.375572732036197
51,1991,18.031093057453845
52,1992,17.944038606008974
53,1993,17.964859345086325
54,1994,18.27841485645342
55,1995,18.268527215751494
56,1996,17.953404512668374
57,1997,18.215146650064163
58,1998,18.63425066623718
59,1999,18.372853242211708
60,2000,18.33408243909872
61,2001,18.408241892371436
62,2002,18.58600807634346
63,2003,18.519352832633334
64,2004,18.460512300622224
65,2005,18.521543422060684
66,2006,18.570607824264105
67,2007,18.673470574391754
68,2008,18.511033370994998
69,2009,18.632333928825897
70,2010,18.772589435476924
71,2011,18.50545227855513
72,2012,18.55734704428996
73,2013,18.64175930747265
74,2014,18.811762032692737
75,2015,18.972772203206194
76,2016,19.060733393626922
77,2017,18.924206655260257
78,2018,18.95304768762158
79,2019,19.129961882308756
80,2020,19.114152224276495
81,2021,18.953754038196582
82,2022,18.981230170581195
83,2023,19.395924625957264
84,2024,19.594956535191027
